ISO Date,Year,Month,District,Number of Collisions,Location,Coordinates,Lat,Lon,Address,Comments
2022-09,2022,9,1081,1,30000 Pacific Coast Hwy,"34.0158855,-118.8203551",34.0158855,-118.8203551,"30000 Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-04,2021,4,1012,2,Pacific Coast Hwy & Busch Dr,"34.0167801,-118.8182358",34.0167801,-118.8182358,"Busch Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-12,2023,12,1012,3,Pacific Coast Hwy & Busch Dr,"34.0167801,-118.8182358",34.0167801,-118.8182358,"Busch Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-07,2022,7,1082,1,Pacific Coast Hwy & Busch Dr,"34.0167801,-118.8182358",34.0167801,-118.8182358,"Busch Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-02,2023,2,1082,1,Pacific Coast Hwy & Busch Dr,"34.0167801,-118.8182358",34.0167801,-118.8182358,"Busch Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",Manual add
2021-02,2021,2,1013,1,Pacific Coast Hwy & Westward Beach Rd,"34.0171512,-118.8166096",34.0171512,-118.8166096,"Westward Beach Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-04,2021,4,1082,1,Pacific Coast Hwy & Westward Beach Rd,"34.0171512,-118.8166096",34.0171512,-118.8166096,"Westward Beach Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-08,2022,8,1082,2,Pacific Coast Hwy & Westward Beach Rd,"34.0171512,-118.8166096",34.0171512,-118.8166096,"Westward Beach Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-03,2023,3,1082,2,Pacific Coast Hwy & Westward Beach Rd,"34.0171512,-118.8166096",34.0171512,-118.8166096,"Westward Beach Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",Manual add
2021-08,2021,8,1012,2,Pacific Coast Hwy & Morning View Dr,"34.0202702,-118.8278139",34.0202702,-118.8278139,"Morning View Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-07,2023,7,1018,1,Pacific Coast Hwy & Morning View Dr,"34.0202702,-118.8278139",34.0202702,-118.8278139,"Morning View Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-04,2021,4,1081,1,Pacific Coast Hwy & Morning View Dr,"34.0202702,-118.8278139",34.0202702,-118.8278139,"Morning View Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-07,2022,7,1081,1,Pacific Coast Hwy & Morning View Dr,"34.0202702,-118.8278139",34.0202702,-118.8278139,"Morning View Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-07,2021,7,1012,2,Pacific Coast Hwy & Kanan Dume Rd,"34.0214385,-118.8025159",34.0214385,-118.8025159,"Kanan Dume Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-11,2021,11,1012,2,Pacific Coast Hwy & Kanan Dume Rd,"34.0214385,-118.8025159",34.0214385,-118.8025159,"Kanan Dume Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-08,2021,8,1012,4,Pacific Coast Hwy & Heathercliff Rd,"34.0221432,-118.8087192",34.0221432,-118.8087192,"Heathercliff Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-07,2022,7,1012,2,Pacific Coast Hwy & Heathercliff Rd,"34.0221432,-118.8087192",34.0221432,-118.8087192,"Heathercliff Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-09,2022,9,1012,1,Pacific Coast Hwy & Heathercliff Rd,"34.0221432,-118.8087192",34.0221432,-118.8087192,"Heathercliff Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-04,2023,4,1017,1,Pacific Coast Hwy & Zuma Beach Access Rd,"34.0226791,-118.8311949",34.0226791,-118.8311949,"Zuma Beach Access Rd, Malibu, CA 90265, USA",
2021-07,2021,7,1012,2,Pacific Coast Hwy & Paradise Cove Rd,"34.0240689,-118.7866615",34.0240689,-118.7866615,"Paradise Cove Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-05,2022,5,1012,2,Pacific Coast Hwy & Escondido Beach Rd,"34.0258241,-118.7660705",34.0258241,-118.7660705,"Escondido Beach Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-07,2023,7,1012,2,Pacific Coast Hwy & Winding Way,"34.02605440282996, -118.77975558948052",34.0260544,-118.7797556,"Winding Way & Pacific Coast Hwy, Malibu, CA 90265, USA",Manual fix
2021-11,2021,11,1081,1,Pacific Coast Hwy & Guernsey Av,"34.0281455,-118.8391963",34.0281455,-118.8391963,"Guernsey Ave & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-02,2022,2,1011,2,Pacific Coast Hwy & Trancas Canyon Rd,"34.0311593,-118.8435755",34.0311593,-118.8435755,"Trancas Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-03,2022,3,1011,1,Pacific Coast Hwy & Trancas Canyon Rd,"34.0311593,-118.8435755",34.0311593,-118.8435755,"Trancas Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-01,2023,1,1011,1,30811 Pacific Coast Hwy,"34.0316483,-118.8437848",34.0316483,-118.8437848,"30811 Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-06,2021,6,1014,1,Pacific Coast Hwy & Corral Canyon Rd,"34.0331366,-118.7432161",34.0331366,-118.7432161,"Corral Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-08,2021,8,1014,2,Pacific Coast Hwy & Corral Canyon Rd,"34.0331366,-118.7432161",34.0331366,-118.7432161,"Corral Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-12,2021,12,1014,1,Pacific Coast Hwy & Corral Canyon Rd,"34.0331366,-118.7432161",34.0331366,-118.7432161,"Corral Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-11,2022,11,1014,2,Pacific Coast Hwy & Corral Canyon Rd,"34.0331366,-118.7432161",34.0331366,-118.7432161,"Corral Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-09,2023,9,1014,1,Pacific Coast Hwy & Corral Canyon Rd,"34.0331366,-118.7432161",34.0331366,-118.7432161,"Corral Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-09,2023,9,1016,1,Pacific Coast Hwy & Corral Canyon Rd,"34.0331366,-118.7432161",34.0331366,-118.7432161,"Corral Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-10,2021,10,1014,1,25653 Pacific Coast Hwy,"34.0338081,-118.735083",34.0338081,-118.735083,"25653 Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-11,2021,11,1014,1,Pacific Coast Hwy & Puerco Canyon Rd,"34.0341554,-118.7238145",34.0341554,-118.7238145,"Puerco Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-04,2022,4,1014,1,Pacific Coast Hwy & John Tyler Dr,"34.034188,-118.7098439",34.034188,-118.7098439,"John Tyler Dr & Pacific Coast Hwy, Malibu, CA 90263, USA",
2023-01,2023,1,1014,1,Pacific Coast Hwy & John Tyler Dr,"34.034188,-118.7098439",34.034188,-118.7098439,"John Tyler Dr & Pacific Coast Hwy, Malibu, CA 90263, USA",
2023-07,2023,7,1014,2,Pacific Coast Hwy & John Tyler Dr,"34.034188,-118.7098439",34.034188,-118.7098439,"John Tyler Dr & Pacific Coast Hwy, Malibu, CA 90263, USA",
2023-09,2023,9,1014,2,Pacific Coast Hwy & John Tyler Dr,"34.034188,-118.7098439",34.034188,-118.7098439,"John Tyler Dr & Pacific Coast Hwy, Malibu, CA 90263, USA",
2023-09,2023,9,1015,2,Pacific Coast Hwy & John Tyler Dr,"34.034188,-118.7098439",34.034188,-118.7098439,"John Tyler Dr & Pacific Coast Hwy, Malibu, CA 90263, USA",
2021-05,2021,5,1014,1,Pacific Coast Hwy & Malibu Rd,"34.0342441,-118.6873132",34.0342441,-118.6873132,"Malibu Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-08,2021,8,1014,1,Pacific Coast Hwy & Malibu Rd,"34.0342441,-118.6873132",34.0342441,-118.6873132,"Malibu Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-04,2021,4,1015,2,Pacific Coast Hwy & Cross Creek Rd,"34.0344183,-118.6850956",34.0344183,-118.6850956,"Cross Creek Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-09,2021,9,1015,2,Pacific Coast Hwy & Cross Creek Rd,"34.0344183,-118.6850956",34.0344183,-118.6850956,"Cross Creek Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-05,2022,5,1015,2,Pacific Coast Hwy & Cross Creek Rd,"34.0344183,-118.6850956",34.0344183,-118.6850956,"Cross Creek Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-07,2022,7,1015,2,Pacific Coast Hwy & Cross Creek Rd,"34.0344183,-118.6850956",34.0344183,-118.6850956,"Cross Creek Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-12,2022,12,1015,2,Pacific Coast Hwy & Cross Creek Rd,"34.0344183,-118.6850956",34.0344183,-118.6850956,"Cross Creek Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-01,2023,1,1015,3,Pacific Coast Hwy & Cross Creek Rd,"34.0344183,-118.6850956",34.0344183,-118.6850956,"Cross Creek Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-04,2023,4,1015,2,Pacific Coast Hwy & Cross Creek Rd,"34.0344183,-118.6850956",34.0344183,-118.6850956,"Cross Creek Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-07,2023,7,1015,2,Pacific Coast Hwy & Cross Creek Rd,"34.0344183,-118.6850956",34.0344183,-118.6850956,"Cross Creek Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-10,2023,10,1015,3,Pacific Coast Hwy & Cross Creek Rd,"34.0344183,-118.6850956",34.0344183,-118.6850956,"Cross Creek Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-05,2021,5,1015,2,Pacific Coast Hwy & Webb Way,"34.0346354,-118.6911335",34.0346354,-118.6911335,"Webb Way & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-11,2021,11,1015,3,Pacific Coast Hwy & Webb Way,"34.0346354,-118.6911335",34.0346354,-118.6911335,"Webb Way & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-03,2023,3,1015,2,Pacific Coast Hwy & Webb Way,"34.0346354,-118.6911335",34.0346354,-118.6911335,"Webb Way & Pacific Coast Hwy, Malibu, CA 90265, USA",Manual add
2023-10,2023,10,1015,2,Pacific Coast Hwy & Webb Way,"34.0346354,-118.6911335",34.0346354,-118.6911335,"Webb Way & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-11,2023,11,1015,2,Pacific Coast Hwy & Webb Way,"34.0346354,-118.6911335",34.0346354,-118.6911335,"Webb Way & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-06,2021,6,1015,2,Pacific Coast Hwy & Malibu Canyon Rd,"34.0347805,-118.7034642",34.0347805,-118.7034642,"Malibu Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-07,2021,7,1015,4,Pacific Coast Hwy & Malibu Canyon Rd,"34.0347805,-118.7034642",34.0347805,-118.7034642,"Malibu Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-08,2021,8,1015,2,Pacific Coast Hwy & Malibu Canyon Rd,"34.0347805,-118.7034642",34.0347805,-118.7034642,"Malibu Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-11,2021,11,1015,2,Pacific Coast Hwy & Malibu Canyon Rd,"34.0347805,-118.7034642",34.0347805,-118.7034642,"Malibu Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-02,2022,2,1015,4,Pacific Coast Hwy & Malibu Canyon Rd,"34.0347805,-118.7034642",34.0347805,-118.7034642,"Malibu Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-03,2022,3,1015,2,Pacific Coast Hwy & Malibu Canyon Rd,"34.0347805,-118.7034642",34.0347805,-118.7034642,"Malibu Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-12,2021,12,1015,2,Pacific Coast Hwy & Serra Rd,"34.0349822,-118.6805595",34.0349822,-118.6805595,"Serra Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-07,2022,7,1015,2,Pacific Coast Hwy & Serra Rd,"34.0349822,-118.6805595",34.0349822,-118.6805595,"Serra Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-11,2022,11,1015,2,Pacific Coast Hwy & Serra Rd,"34.0349822,-118.6805595",34.0349822,-118.6805595,"Serra Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-11,2023,11,1015,3,Pacific Coast Hwy & Serra Rd,"34.0349822,-118.6805595",34.0349822,-118.6805595,"Serra Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-08,2021,8,1016,2,Pacific Coast Hwy & Rambla Pacifico,"34.0369459,-118.6368909",34.0369459,-118.6368909,"Rambla Pacifico St & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-01,2023,1,1016,2,Pacific Coast Hwy & Rambla Pacifico,"34.0369459,-118.6368909",34.0369459,-118.6368909,"Rambla Pacifico St & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-04,2023,4,1016,2,Pacific Coast Hwy & Rambla Pacifico,"34.0369459,-118.6368909",34.0369459,-118.6368909,"Rambla Pacifico St & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-09,2023,9,1016,1,Pacific Coast Hwy & Las Flores Canyon Rd,"34.0369614,-118.6360392",34.0369614,-118.6360392,"Las Flores Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-07,2021,7,1017,2,Pacific Coast Hwy & Las Flores Canyon Rd,"34.0369614,-118.6360392",34.0369614,-118.6360392,"Las Flores Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-08,2021,8,1017,4,Pacific Coast Hwy & Las Flores Canyon Rd,"34.0369614,-118.6360392",34.0369614,-118.6360392,"Las Flores Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-02,2022,2,1017,2,Pacific Coast Hwy & Las Flores Canyon Rd,"34.0369614,-118.6360392",34.0369614,-118.6360392,"Las Flores Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-04,2022,4,1017,2,Pacific Coast Hwy & Las Flores Canyon Rd,"34.0369614,-118.6360392",34.0369614,-118.6360392,"Las Flores Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-05,2022,5,1017,1,Pacific Coast Hwy & Las Flores Canyon Rd,"34.0369614,-118.6360392",34.0369614,-118.6360392,"Las Flores Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-08,2022,8,1017,1,Pacific Coast Hwy & Las Flores Canyon Rd,"34.0369614,-118.6360392",34.0369614,-118.6360392,"Las Flores Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-03,2023,3,1017,2,Pacific Coast Hwy & Las Flores Canyon Rd,"34.0369614,-118.6360392",34.0369614,-118.6360392,"Las Flores Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",Manual add
2023-04,2023,4,1017,3,Pacific Coast Hwy & Las Flores Canyon Rd,"34.0369614,-118.6360392",34.0369614,-118.6360392,"Las Flores Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-06,2023,6,1017,1,Pacific Coast Hwy & Las Flores Canyon Rd,"34.0369614,-118.6360392",34.0369614,-118.6360392,"Las Flores Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
