SUM of Number of Collisions,ISO Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-07,2022-08,2022-09,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-06,2023-07,2023-09,2023-10,2023-11,2023-12,Grand Total
1010,,,,1,,,1,,,,2,,,,,,,2,1,,,,,,,3,1,,,,,,11
1011,,,,,1,,,,,,,1,,3,1,,,,,,1,,1,,,,,,,,,,8
1012,,,,2,,,4,6,,,2,,,,,,2,2,,1,,,,,,,,2,,,,3,24
1013,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1014,,,,,1,1,,3,,1,1,1,,,,1,,,,,2,,1,,,,,2,3,,,,17
1015,,,4,5,2,2,6,4,5,,5,2,,6,5,,4,4,,,2,2,3,1,4,2,1,4,2,5,5,2,87
1016,,,1,2,3,2,2,2,,,2,,3,4,2,,2,,7,,,,3,3,3,8,,2,3,2,2,,58
1017,2,1,1,,2,,4,6,2,2,,1,1,4,,2,1,1,4,,,,4,,2,4,5,2,,,,,51
1018,2,,,,,1,,2,,,,,,1,,1,,,1,,,,,3,2,,,1,,,,,14
1029,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,2
1080,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
1081,,,,1,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,4
1082,,,,1,,,,,,,,,,,,,,1,2,,,,,1,2,,,,,,,,7
Grand Total,4,2,6,12,9,6,18,23,7,3,13,5,4,18,8,4,9,11,16,3,5,2,12,8,13,17,7,13,8,7,7,5,285